el/la abuelo/a, grandfather/grandmother,
los abuelos, grandparents,
el apellido, last name,
el/la bisabuelo/a, great-grandfather/great-grandmother,
el/la cuñado/a, brother-in-law/sister-in-law,
el/la esposo/a, husband/wife/ spouse,
la familia, family,
el/la gemelo/a, twin,
el/la hermanastro/a, stepbrother/stepsister,
el/la hermano/a, brother/sister,
el/la hijastro/a, stepson/stepdaughter,
el/la hijo/a, son/daughter,
los hijos, children,
la madrastra, stepmother,
la madre, mother,
el/la medio/a hermano/a, half-brother/half-sister,
el/la nieto/a, grandson/granddaughter,
la nuera, daughter-in-law,
el padrastro, stepfather,
el padre, father,
los padres, parents,
los parientes, relatives,
el/la primo/a, cousin,
el/la sobrino/a, nephew/niece,
el/la suegro/a, father-in-law/mother-in-law,
el/la tío/a, uncle/aunt,
el yerno, son-in-law,
el/la amigo/a, friend,
la gente, people,
el/la muchacho/a, boy/girl,
el/la niño/a, child,
el/la novio/a, boyfriend/girlfriend,
la persona, person,
el/la artista, artist,
el/la doctor(a), doctor,
el/la médico/a, physician,
el/la ingeniero/a, engineer,
el/la periodista, journalist,
el/la programador(a), computer programmer,
alemán/ alemana, German,
argentino/a, Argentine,
canadiense, Canadian,
chino/a, Chinese,
costarricense, Costa Rican,
cubano/a, Cuban,
dominicano/a, Dominican,
ecuatoriano/a, Ecuadorian,
español(a), Spanish,
estadounidense, from the U.S.,
francés/ francesa, French,
inglés/ inglesa, English,
italiano/a, Italian,
japonés/ japonesa, Japanese,
mexicano/a, Mexican,
norteamericano/a, (North) American,
puertorriqueño/a, Puerto Rican,
ruso/a, Russian,
venezolano/a, Venezuelan,
alto/a, tall,
antipático/a, unpleasant,
bajo/a, short(in height),
bonito/a, pretty,
buen, good,
bueno/a, good,
delgado/a, thin,
difícil, difficult,
fácil, easy,
feo/o, ugly,
gordo/a, fat,
grande, big,
guapo/a, good-looking,
importante, important,
inteligente,intelligent,
interesante, interesting,
joven(sing), young(sing),
jóvenes(pl), youn(pl),
mal, bad,
malo/a, bad,
mismo/a, same,
moreno/a, brunette,
mucho/a, much/many/a lot of,
pelirrojo/a, red-haired,
pequeño/a, small,
rubio/a, blonde,
simpático/a, nice/likeable,
tono/a, foolish,
trabajador(a), hard-working,
viejo/a, old,
abrir, to open,
aprender(a+inf), to learn,
asistir (a), to attend,
beber, to drink,
comer, to eat,
compartir, to share,
comprender, to understand,
correr, to run,
creer (en), to believe (in),
deber (+ inf), should,
decidir (+ inf), to decide,
descibir, to describe,
escribir, to write,
leer, to read,
recibir, to receive,
tener, to have,
venir, to come,
vivir, to live,
tener... años, to be... years old,
tener (mucho) calor, to be (very) hot,
tener (mucho) cuidado, to be (very) careful,
tener (mucho) frío, to be (very) cold,
tener (mucha) hambre, to be (very) hungry,
tener (mucho) miedo (de), to be (very) afraid/scared (of),
tener (mucha) prisa, to be in a (big) hurry,
tener razón, to be right,
no tener razón, to be wrong,
tener (mucha) sed, to be (very thirsty),
tener (mucho) sueño, to be (very) sleepy,
tener (mucha) suerte, to be (very) lucky,
