el apellido, last name,
el/la gemelo/a, twin,
el/la nieto/a, grandson/granddaughter,
el/la sobrino/a, nephew/niece,
el/la cuñado/a, brother-in-law/sister-in-law,
la nuera, daughter-in-law,
el/la suegro/a, father-in-law/mother-in-law,
el yerno, son-in-law,
el/la periodista, journalist,
costarricense, Costa Rican,
francés/ francesa, French,
japonés/ japonesa, Japanese,
puertorriqueño/a, Puerto Rican,
delgado/a, thin,
fácil, easy,
feo/o, ugly,
gordo/a, fat,
grande, big,
joven(sing), young(sing),
jóvenes(pl), youn(pl),
mismo/a, same,
moreno/a, brunette,
pelirrojo/a, red-haired,
pequeño/a, small,
rubio/a, blonde,
tono/a, foolish,
trabajador(a), hard-working,
viejo/a, old,
abrir, to open,
aprender(a+inf), to learn,
asistir (a), to attend,
beber, to drink,
comer, to eat,
compartir, to share,
comprender, to understand,
correr, to run,
creer (en), to believe (in),
deber (+ inf), should,
decidir (+ inf), to decide,
descibir, to describe,
escribir, to write,
leer, to read,
recibir, to receive,
tener, to have,
venir, to come,
vivir, to live,
tener... años, to be... years old,
tener (mucho) calor, to be (very) hot,
tener (mucho) cuidado, to be (very) careful,
tener (mucho) frío, to be (very) cold,
tener (mucha) hambre, to be (very) hungry,
tener (mucho) miedo (de), to be (very) afraid/scared (of),
tener (mucha) prisa, to be in a (big) hurry,
tener razón, to be right,
no tener razón, to be wrong,
tener (mucha) sed, to be (very thirsty),
tener (mucho) sueño, to be (very) sleepy,
tener (mucha) suerte, to be (very) lucky,
